frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.65,-2.16,2.64,-2.17,2.20,1.95,0.26,4.85,4.84,4.81
20.20,2.65,-2.19,2.67,-2.18,2.18,1.93,0.26,4.83,4.85,4.84
20.40,2.70,-2.17,2.70,-2.17,2.16,1.91,0.27,4.86,4.86,4.87
20.61,2.74,-2.15,2.74,-2.15,2.13,1.88,0.28,4.88,4.88,4.89
20.81,2.80,-2.12,2.80,-2.12,2.11,1.85,0.29,4.91,4.91,4.92
21.02,2.86,-2.09,2.86,-2.09,2.07,1.82,0.30,4.94,4.94,4.95
21.23,2.92,-2.04,2.92,-2.04,2.04,1.79,0.31,4.96,4.96,4.96
21.44,2.98,-1.99,2.98,-1.99,2.00,1.76,0.32,4.98,4.99,4.97
21.66,3.04,-1.94,3.04,-1.94,1.95,1.72,0.33,5.00,4.99,4.98
21.87,3.09,-1.89,3.09,-1.90,1.90,1.68,0.34,5.00,4.99,4.98
22.09,3.13,-1.86,3.13,-1.86,1.85,1.64,0.35,4.99,4.99,4.99
22.31,3.17,-1.82,3.18,-1.81,1.80,1.60,0.36,4.98,4.98,4.99
22.54,3.23,-1.76,3.23,-1.76,1.75,1.56,0.38,4.98,4.99,4.99
22.76,3.29,-1.70,3.29,-1.70,1.70,1.51,0.39,5.00,4.99,4.99
22.99,3.35,-1.63,3.34,-1.64,1.65,1.47,0.40,5.01,5.00,4.98
23.22,3.38,-1.60,3.39,-1.59,1.60,1.42,0.41,4.99,4.99,4.98
23.45,3.43,-1.55,3.43,-1.55,1.55,1.37,0.43,4.99,4.99,4.98
23.69,3.48,-1.50,3.48,-1.51,1.50,1.33,0.44,4.98,4.98,4.98
23.92,3.52,-1.46,3.52,-1.46,1.45,1.28,0.45,4.98,4.98,4.98
24.16,3.56,-1.42,3.57,-1.41,1.41,1.23,0.46,4.97,4.98,4.98
24.40,3.62,-1.36,3.62,-1.36,1.36,1.18,0.48,4.98,4.98,4.98
24.65,3.67,-1.30,3.67,-1.31,1.31,1.14,0.49,4.98,4.98,4.97
24.89,3.72,-1.25,3.72,-1.25,1.26,1.09,0.51,4.98,4.98,4.97
25.14,3.76,-1.21,3.76,-1.21,1.21,1.04,0.52,4.97,4.97,4.97
25.39,3.80,-1.17,3.81,-1.16,1.16,0.99,0.53,4.97,4.97,4.97
25.65,3.85,-1.12,3.85,-1.12,1.12,0.95,0.55,4.97,4.97,4.97
25.91,3.90,-1.06,3.90,-1.07,1.07,0.90,0.56,4.97,4.97,4.96
26.16,3.93,-1.03,3.94,-1.02,1.03,0.85,0.57,4.96,4.97,4.96
26.43,3.99,-0.97,3.98,-0.98,0.98,0.81,0.59,4.97,4.96,4.96
26.69,4.01,-0.95,4.02,-0.94,0.94,0.76,0.60,4.95,4.96,4.96
26.96,4.07,-0.89,4.07,-0.90,0.89,0.72,0.61,4.96,4.96,4.96
27.23,4.10,-0.85,4.10,-0.85,0.85,0.68,0.62,4.95,4.95,4.95
27.50,4.15,-0.80,4.15,-0.80,0.80,0.63,0.63,4.96,4.95,4.95
27.77,4.18,-0.76,4.19,-0.76,0.76,0.59,0.64,4.94,4.95,4.94
28.05,4.23,-0.71,4.23,-0.71,0.72,0.55,0.65,4.95,4.94,4.94
28.33,4.26,-0.67,4.26,-0.67,0.68,0.51,0.66,4.94,4.94,4.93
28.62,4.29,-0.64,4.30,-0.63,0.63,0.47,0.66,4.92,4.93,4.93
28.90,4.34,-0.59,4.33,-0.60,0.59,0.43,0.67,4.93,4.93,4.93
29.19,4.37,-0.55,4.37,-0.55,0.55,0.39,0.67,4.92,4.93,4.92
29.48,4.40,-0.52,4.41,-0.51,0.51,0.36,0.68,4.92,4.92,4.92
29.78,4.45,-0.46,4.44,-0.47,0.47,0.32,0.68,4.93,4.92,4.91
