frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.00,-6.92,-3.01,-6.93,6.94,6.97,2.55,3.93,3.92,3.91
20.20,-3.00,-6.95,-2.99,-6.93,6.93,6.95,2.62,3.93,3.95,3.94
20.40,-2.95,-6.93,-2.95,-6.92,6.92,6.93,2.70,3.97,3.97,3.97
20.61,-2.91,-6.91,-2.91,-6.91,6.91,6.90,2.77,3.99,3.99,3.99
20.81,-2.86,-6.89,-2.86,-6.89,6.89,6.87,2.85,4.02,4.02,4.02
21.02,-2.81,-6.87,-2.82,-6.86,6.86,6.84,2.94,4.05,4.04,4.05
21.23,-2.77,-6.84,-2.77,-6.83,6.83,6.82,3.02,4.06,4.06,4.06
21.44,-2.72,-6.80,-2.72,-6.80,6.80,6.79,3.11,4.07,4.07,4.07
21.66,-2.67,-6.76,-2.68,-6.76,6.75,6.76,3.20,4.08,4.07,4.08
21.87,-2.62,-6.71,-2.62,-6.71,6.70,6.72,3.29,4.08,4.08,4.08
22.09,-2.58,-6.67,-2.56,-6.65,6.65,6.69,3.39,4.07,4.09,4.09
22.31,-2.48,-6.58,-2.50,-6.60,6.59,6.66,3.48,4.11,4.09,4.09
22.54,-2.44,-6.54,-2.44,-6.54,6.54,6.63,3.58,4.10,4.10,4.09
22.76,-2.39,-6.49,-2.39,-6.48,6.49,6.59,3.69,4.10,4.10,4.09
22.99,-2.34,-6.43,-2.34,-6.43,6.44,6.56,3.79,4.10,4.09,4.08
23.22,-2.30,-6.39,-2.30,-6.38,6.39,6.52,3.90,4.09,4.09,4.08
23.45,-2.25,-6.34,-2.26,-6.34,6.35,6.48,4.01,4.10,4.09,4.08
23.69,-2.23,-6.32,-2.23,-6.31,6.32,6.45,4.12,4.08,4.09,4.08
23.92,-2.19,-6.28,-2.20,-6.28,6.28,6.41,4.23,4.09,4.09,4.08
24.16,-2.18,-6.27,-2.17,-6.26,6.25,6.37,4.35,4.07,4.08,4.08
24.40,-2.13,-6.22,-2.14,-6.22,6.22,6.33,4.47,4.08,4.07,4.08
24.65,-2.12,-6.20,-2.11,-6.19,6.18,6.29,4.59,4.06,4.07,4.07
24.89,-2.07,-6.15,-2.07,-6.15,6.14,6.25,4.71,4.07,4.07,4.07
25.14,-2.03,-6.11,-2.03,-6.11,6.10,6.21,4.83,4.07,4.07,4.07
25.39,-1.98,-6.06,-1.99,-6.06,6.06,6.17,4.96,4.08,4.08,4.07
25.65,-1.95,-6.03,-1.95,-6.02,6.02,6.13,5.08,4.07,4.08,4.07
25.91,-1.90,-5.97,-1.91,-5.97,5.98,6.09,5.20,4.07,4.07,4.06
26.16,-1.86,-5.93,-1.87,-5.93,5.93,6.05,5.33,4.07,4.07,4.06
26.43,-1.83,-5.90,-1.83,-5.89,5.89,6.01,5.45,4.06,4.06,4.06
26.69,-1.78,-5.85,-1.78,-5.85,5.84,5.97,5.57,4.06,4.06,4.06
26.96,-1.74,-5.81,-1.74,-5.80,5.80,5.93,5.69,4.06,4.06,4.06
27.23,-1.69,-5.75,-1.70,-5.75,5.76,5.88,5.81,4.06,4.06,4.05
27.50,-1.66,-5.72,-1.66,-5.71,5.71,5.84,5.92,4.05,4.05,4.05
27.77,-1.62,-5.67,-1.62,-5.67,5.67,5.80,6.04,4.05,4.05,4.04
28.05,-1.58,-5.63,-1.58,-5.62,5.63,5.75,6.14,4.05,4.04,4.04
28.33,-1.54,-5.58,-1.55,-5.58,5.59,5.71,6.24,4.04,4.04,4.03
28.62,-1.51,-5.55,-1.51,-5.55,5.54,5.67,6.34,4.03,4.03,4.03
28.90,-1.48,-5.52,-1.48,-5.51,5.50,5.62,6.43,4.02,4.03,4.03
29.19,-1.44,-5.47,-1.44,-5.47,5.46,5.58,6.51,4.02,4.02,4.02
29.48,-1.40,-5.43,-1.40,-5.43,5.42,5.54,6.58,4.02,4.02,4.02
29.78,-1.36,-5.38,-1.37,-5.38,5.39,5.49,6.64,4.02,4.02,4.01
30.08,-1.34,-5.36,-1.33,-5.35,5.35,5.45,6.69,4.01,4.01,4.01
30.38,-1.30,-5.31,-1.31,-5.31,5.31,5.40,6.74,4.01,4.01,4.00
30.68,-1.27,-5.28,-1.27,-5.28,5.28,5.36,6.77,4.00,4.00,4.00
30.99,-1.25,-5.25,-1.25,-5.24,5.24,5.32,6.79,3.99,4.00,3.99
31.30,-1.21,-5.20,-1.22,-5.21,5.21,5.27,6.80,4.00,3.99,3.98
31.61,-1.20,-5.19,-1.20,-5.18,5.18,5.23,6.80,3.97,3.98,3.98
31.93,-1.17,-5.15,-1.17,-5.15,5.14,5.18,6.79,3.97,3.97,3.97
32.24,-1.16,-5.13,-1.15,-5.12,5.11,5.14,6.77,3.95,3.96,3.96
32.57,-1.11,-5.08,-1.12,-5.08,5.08,5.10,6.74,3.97,3.96,3.96
32.89,-1.10,-5.06,-1.10,-5.05,5.05,5.05,6.70,3.95,3.96,3.95
