frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.71,1.53,9.71,1.52,-1.52,-1.51,-0.49,8.19,8.18,8.18
20.20,9.70,1.53,9.70,1.53,-1.53,-1.50,-0.50,8.17,8.17,8.17
20.40,9.70,1.54,9.69,1.54,-1.54,-1.49,-0.52,8.16,8.16,8.16
20.61,9.69,1.54,9.69,1.54,-1.54,-1.48,-0.53,8.15,8.14,8.15
20.81,9.68,1.55,9.68,1.55,-1.54,-1.47,-0.54,8.13,8.13,8.13
21.02,9.67,1.55,9.67,1.55,-1.54,-1.46,-0.56,8.12,8.12,8.12
21.23,9.66,1.55,9.66,1.54,-1.54,-1.45,-0.57,8.12,8.12,8.11
21.44,9.65,1.53,9.64,1.53,-1.54,-1.44,-0.59,8.11,8.11,8.12
21.66,9.63,1.53,9.63,1.52,-1.53,-1.43,-0.61,8.10,8.10,8.10
21.87,9.61,1.51,9.61,1.52,-1.52,-1.42,-0.62,8.09,8.09,8.10
22.09,9.60,1.52,9.59,1.51,-1.51,-1.41,-0.64,8.09,8.09,8.08
22.31,9.58,1.51,9.57,1.50,-1.49,-1.40,-0.66,8.08,8.08,8.07
22.54,9.55,1.49,9.55,1.49,-1.47,-1.39,-0.68,8.07,8.07,8.06
22.76,9.52,1.46,9.51,1.46,-1.45,-1.37,-0.69,8.06,8.06,8.06
22.99,9.48,1.43,9.48,1.43,-1.43,-1.36,-0.71,8.05,8.05,8.05
23.22,9.45,1.41,9.45,1.40,-1.40,-1.35,-0.73,8.04,8.04,8.04
23.45,9.42,1.37,9.42,1.38,-1.38,-1.34,-0.75,8.04,8.04,8.05
23.69,9.40,1.36,9.39,1.35,-1.35,-1.33,-0.77,8.04,8.04,8.04
23.92,9.37,1.34,9.37,1.33,-1.33,-1.32,-0.79,8.03,8.04,8.03
24.16,9.36,1.32,9.35,1.32,-1.32,-1.30,-0.81,8.04,8.03,8.04
24.40,9.34,1.30,9.34,1.30,-1.31,-1.29,-0.83,8.02,8.02,8.04
24.65,9.33,1.30,9.33,1.30,-1.31,-1.28,-0.85,8.01,8.02,8.03
