frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.32,1.78,8.32,1.78,-1.78,-1.76,-0.95,6.53,6.53,6.53
20.20,8.33,1.80,8.32,1.80,-1.80,-1.76,-0.98,6.52,6.52,6.52
20.40,8.34,1.82,8.33,1.82,-1.82,-1.77,-1.01,6.51,6.51,6.51
20.61,8.34,1.83,8.34,1.84,-1.84,-1.77,-1.04,6.50,6.50,6.50
20.81,8.35,1.86,8.35,1.86,-1.86,-1.78,-1.07,6.49,6.49,6.48
21.02,8.36,1.88,8.35,1.88,-1.87,-1.78,-1.10,6.48,6.48,6.47
21.23,8.37,1.90,8.36,1.89,-1.89,-1.79,-1.13,6.48,6.47,6.46
21.44,8.37,1.89,8.37,1.90,-1.91,-1.79,-1.16,6.46,6.46,6.47
21.66,8.38,1.92,8.38,1.92,-1.92,-1.80,-1.20,6.45,6.45,6.45
21.87,8.39,1.93,8.38,1.93,-1.94,-1.80,-1.23,6.45,6.44,6.45
22.09,8.39,1.95,8.39,1.96,-1.95,-1.81,-1.27,6.43,6.44,6.43
22.31,8.40,1.97,8.40,1.97,-1.97,-1.81,-1.30,6.43,6.43,6.42
22.54,8.41,1.99,8.40,1.99,-1.98,-1.82,-1.34,6.42,6.42,6.41
22.76,8.41,1.99,8.41,2.00,-2.00,-1.82,-1.38,6.41,6.41,6.41
22.99,8.42,2.01,8.42,2.01,-2.01,-1.83,-1.42,6.40,6.40,6.40
23.22,8.43,2.03,8.42,2.02,-2.02,-1.83,-1.46,6.40,6.40,6.39
23.45,8.43,2.02,8.43,2.03,-2.03,-1.84,-1.50,6.39,6.40,6.40
23.69,8.44,2.04,8.44,2.04,-2.04,-1.85,-1.54,6.39,6.39,6.39
23.92,8.45,2.06,8.44,2.05,-2.05,-1.85,-1.58,6.40,6.39,6.38
24.16,8.45,2.05,8.45,2.06,-2.06,-1.86,-1.63,6.39,6.39,6.39
24.40,8.46,2.06,8.45,2.06,-2.07,-1.87,-1.67,6.39,6.39,6.39
24.65,8.46,2.07,8.46,2.07,-2.08,-1.87,-1.71,6.38,6.38,6.38
24.89,8.47,2.08,8.46,2.08,-2.08,-1.88,-1.76,6.38,6.38,6.38
25.14,8.47,2.09,8.47,2.09,-2.09,-1.89,-1.80,6.38,6.38,6.37
25.39,8.48,2.10,8.47,2.10,-2.10,-1.89,-1.85,6.38,6.38,6.37
25.65,8.48,2.10,8.48,2.10,-2.10,-1.90,-1.90,6.37,6.38,6.37
25.91,8.49,2.11,8.48,2.11,-2.11,-1.91,-1.94,6.38,6.38,6.37
26.16,8.49,2.10,8.49,2.11,-2.11,-1.91,-1.99,6.37,6.37,6.38
26.43,8.49,2.11,8.49,2.11,-2.12,-1.92,-2.03,6.37,6.37,6.37
