frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.91,-5.13,-4.91,-5.13,5.15,5.28,2.22,0.24,0.23,0.21
20.20,-4.93,-5.18,-4.93,-5.17,5.18,5.28,2.29,0.25,0.25,0.24
20.40,-4.93,-5.21,-4.93,-5.21,5.20,5.27,2.35,0.27,0.27,0.27
20.61,-4.93,-5.22,-4.94,-5.24,5.22,5.26,2.42,0.29,0.29,0.29
20.81,-4.93,-5.26,-4.93,-5.26,5.24,5.25,2.49,0.31,0.31,0.32
21.02,-4.93,-5.29,-4.92,-5.27,5.25,5.24,2.56,0.32,0.33,0.35
21.23,-4.90,-5.27,-4.91,-5.28,5.26,5.24,2.64,0.36,0.35,0.36
21.44,-4.89,-5.27,-4.89,-5.26,5.26,5.23,2.71,0.37,0.37,0.37
21.66,-4.87,-5.26,-4.87,-5.25,5.25,5.22,2.79,0.38,0.38,0.38
21.87,-4.84,-5.23,-4.85,-5.24,5.24,5.21,2.87,0.40,0.39,0.38
22.09,-4.84,-5.23,-4.82,-5.22,5.22,5.20,2.96,0.38,0.40,0.39
22.31,-4.79,-5.19,-4.80,-5.20,5.21,5.19,3.04,0.42,0.40,0.39
22.54,-4.79,-5.19,-4.79,-5.19,5.19,5.18,3.13,0.40,0.40,0.39
22.76,-4.79,-5.19,-4.79,-5.18,5.19,5.18,3.22,0.39,0.40,0.39
22.99,-4.79,-5.18,-4.79,-5.18,5.18,5.17,3.31,0.39,0.39,0.38
23.22,-4.79,-5.18,-4.79,-5.18,5.18,5.16,3.41,0.39,0.39,0.38
23.45,-4.79,-5.18,-4.79,-5.17,5.18,5.15,3.50,0.39,0.39,0.38
23.69,-4.79,-5.18,-4.79,-5.18,5.17,5.14,3.60,0.38,0.38,0.38
23.92,-4.79,-5.18,-4.79,-5.18,5.17,5.13,3.70,0.38,0.38,0.38
24.16,-4.79,-5.18,-4.79,-5.18,5.17,5.12,3.80,0.38,0.37,0.38
24.40,-4.79,-5.18,-4.79,-5.17,5.16,5.11,3.91,0.37,0.37,0.38
24.65,-4.79,-5.17,-4.78,-5.16,5.15,5.10,4.01,0.36,0.37,0.37
24.89,-4.75,-5.13,-4.76,-5.14,5.14,5.09,4.12,0.39,0.38,0.37
25.14,-4.75,-5.13,-4.75,-5.13,5.14,5.08,4.23,0.38,0.38,0.37
25.39,-4.75,-5.13,-4.75,-5.12,5.13,5.07,4.34,0.38,0.38,0.37
25.65,-4.75,-5.13,-4.75,-5.12,5.12,5.06,4.44,0.37,0.37,0.37
25.91,-4.75,-5.12,-4.75,-5.12,5.12,5.05,4.55,0.37,0.37,0.36
26.16,-4.75,-5.12,-4.75,-5.12,5.12,5.04,4.66,0.37,0.37,0.36
26.43,-4.75,-5.12,-4.76,-5.12,5.12,5.03,4.77,0.37,0.37,0.36
26.69,-4.77,-5.14,-4.76,-5.13,5.12,5.01,4.88,0.35,0.36,0.36
26.96,-4.77,-5.14,-4.77,-5.13,5.12,5.00,4.98,0.35,0.35,0.36
27.23,-4.77,-5.13,-4.77,-5.13,5.12,4.99,5.09,0.35,0.35,0.35
27.50,-4.77,-5.13,-4.76,-5.12,5.12,4.98,5.19,0.35,0.35,0.35
27.77,-4.75,-5.10,-4.76,-5.10,5.11,4.97,5.29,0.36,0.36,0.34
28.05,-4.75,-5.10,-4.75,-5.09,5.11,4.96,5.38,0.36,0.36,0.34
28.33,-4.75,-5.09,-4.75,-5.09,5.10,4.95,5.47,0.35,0.34,0.33
28.62,-4.75,-5.09,-4.75,-5.09,5.08,4.93,5.56,0.33,0.33,0.33
28.90,-4.75,-5.08,-4.74,-5.07,5.06,4.92,5.63,0.31,0.32,0.33
29.19,-4.71,-5.04,-4.72,-5.04,5.03,4.91,5.71,0.32,0.32,0.32
29.48,-4.68,-5.00,-4.69,-5.01,5.00,4.90,5.77,0.32,0.31,0.32
29.78,-4.65,-4.97,-4.64,-4.96,4.95,4.89,5.83,0.30,0.31,0.31
30.08,-4.60,-4.92,-4.60,-4.91,4.90,4.87,5.88,0.30,0.30,0.31
30.38,-4.54,-4.85,-4.55,-4.85,4.85,4.86,5.92,0.30,0.30,0.30
30.68,-4.49,-4.80,-4.48,-4.78,4.78,4.85,5.95,0.29,0.30,0.30
30.99,-4.42,-4.72,-4.42,-4.72,4.72,4.84,5.98,0.30,0.30,0.29
31.30,-4.36,-4.65,-4.37,-4.66,4.66,4.82,5.99,0.30,0.30,0.28
31.61,-4.33,-4.62,-4.33,-4.61,4.61,4.81,6.00,0.28,0.29,0.28
31.93,-4.28,-4.56,-4.29,-4.57,4.57,4.80,6.00,0.29,0.28,0.27
32.24,-4.28,-4.54,-4.26,-4.53,4.54,4.78,5.99,0.26,0.28,0.26
32.57,-4.23,-4.50,-4.25,-4.51,4.52,4.77,5.97,0.29,0.28,0.26
32.89,-4.23,-4.49,-4.25,-4.50,4.52,4.76,5.94,0.29,0.27,0.25
33.22,-4.28,-4.53,-4.26,-4.51,4.52,4.74,5.91,0.24,0.25,0.24
33.55,-4.28,-4.53,-4.30,-4.54,4.52,4.73,5.87,0.24,0.23,0.24
33.89,-4.33,-4.57,-4.32,-4.55,4.53,4.71,5.82,0.20,0.22,0.23
34.23,-4.33,-4.56,-4.33,-4.56,4.54,4.70,5.76,0.21,0.21,0.22
34.57,-4.33,-4.55,-4.35,-4.56,4.55,4.68,5.70,0.22,0.20,0.21
34.92,-4.37,-4.57,-4.35,-4.56,4.56,4.67,5.64,0.19,0.21,0.20
35.27,-4.37,-4.57,-4.37,-4.56,4.57,4.66,5.57,0.20,0.20,0.19
35.62,-4.37,-4.56,-4.39,-4.57,4.57,4.64,5.50,0.20,0.19,0.18
35.97,-4.40,-4.58,-4.40,-4.57,4.58,4.63,5.42,0.17,0.18,0.17
36.33,-4.42,-4.59,-4.41,-4.57,4.58,4.61,5.35,0.16,0.17,0.16
36.70,-4.42,-4.58,-4.43,-4.58,4.58,4.59,5.27,0.16,0.15,0.15
37.06,-4.43,-4.58,-4.44,-4.59,4.58,4.58,5.19,0.15,0.14,0.14
37.43,-4.47,-4.61,-4.46,-4.59,4.59,4.56,5.11,0.11,0.13,0.13
37.81,-4.47,-4.60,-4.47,-4.59,4.58,4.55,5.03,0.11,0.11,0.12
38.19,-4.47,-4.59,-4.47,-4.59,4.58,4.53,4.96,0.11,0.11,0.11
38.57,-4.47,-4.58,-4.47,-4.57,4.58,4.52,4.88,0.11,0.11,0.10
38.95,-4.47,-4.57,-4.48,-4.57,4.58,4.50,4.80,0.10,0.10,0.09
39.34,-4.49,-4.57,-4.49,-4.57,4.57,4.48,4.73,0.08,0.08,0.07
39.74,-4.51,-4.58,-4.50,-4.56,4.57,4.47,4.65,0.06,0.07,0.06
40.14,-4.51,-4.57,-4.51,-4.57,4.57,4.45,4.58,0.06,0.06,0.05
40.54,-4.51,-4.56,-4.53,-4.57,4.58,4.43,4.52,0.06,0.05,0.04
40.94,-4.55,-4.59,-4.54,-4.58,4.58,4.41,4.45,0.03,0.04,0.03
41.35,-4.56,-4.59,-4.56,-4.58,4.58,4.40,4.39,0.02,0.02,0.02
41.76,-4.56,-4.58,-4.56,-4.58,4.57,4.38,4.32,0.01,0.01,0.01
42.18,-4.56,-4.57,-4.57,-4.57,4.56,4.36,4.27,-0.00,-0.01,0.00
